Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Knock Count (Combined) (Knock Events),MAF/SD Blend Percentage (%),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V)
11296,14.70,13.60,176,1132,74.90,23.50,4.11,56,0.00,9.87,5.49,2,0.60,0.00,0,0.0,-4.93,11.25,0.00,0.72
11372,14.81,13.60,176,1120,74.90,23.50,4.06,56,0.00,9.72,5.10,2,0.60,0.00,0,0.0,-5.08,10.89,0.00,0.70
11447,14.70,13.60,176,1097,74.90,22.00,3.98,56,0.00,9.72,4.71,2,0.61,0.00,0,0.0,-5.08,10.43,0.00,0.70
11522,14.93,13.52,176,1031,74.90,21.00,3.74,56,0.00,9.72,4.71,2,0.64,0.00,0,0.0,-5.08,10.28,0.00,0.70
11597,14.93,13.52,176,982,74.90,20.00,3.76,56,0.00,9.87,4.71,2,0.69,0.00,0,0.0,-4.93,10.08,0.00,0.70
11673,15.04,13.44,176,834,74.90,17.50,3.74,56,0.00,10.01,4.71,2,0.73,0.00,0,0.0,-4.79,9.94,0.00,0.68
11748,15.04,13.52,176,806,74.90,16.50,3.61,56,0.00,10.30,4.31,2,0.73,0.00,0,0.0,-4.50,9.90,0.00,0.68
11823,14.81,13.60,176,796,74.90,16.50,3.40,56,0.00,10.59,4.31,2,0.64,0.00,0,0.0,-4.21,9.44,0.00,0.68
11899,14.36,13.60,176,884,74.90,21.00,3.02,56,0.00,10.59,4.31,2,0.61,0.00,0,0.0,-4.06,9.48,0.00,0.68
11974,12.86,13.60,176,950,74.90,20.50,3.24,56,0.00,10.45,4.31,3,0.62,0.00,0,0.0,-4.21,9.53,0.00,0.68
12049,12.98,13.60,176,923,74.90,20.00,3.15,56,0.00,10.45,4.31,3,0.63,0.00,0,0.0,-4.35,9.53,0.00,0.68
12125,13.55,13.60,176,893,74.90,20.50,3.22,56,0.00,10.30,4.31,3,0.61,0.00,0,0.0,-4.50,9.44,0.00,0.68
12201,14.70,13.52,176,1028,74.90,21.50,3.73,56,0.00,10.16,4.31,3,0.60,0.00,0,0.0,-4.64,9.61,0.00,0.68
12276,15.04,13.52,176,1011,74.90,22.00,3.45,56,0.00,10.01,4.31,3,0.59,0.00,0,0.0,-4.79,9.62,0.00,0.68
12351,15.96,13.44,176,993,74.90,21.50,3.60,56,0.00,9.87,4.31,3,0.57,0.00,0,0.0,-4.93,9.66,0.00,0.68
12426,15.50,13.52,176,1004,74.90,23.00,3.43,56,0.00,9.72,4.31,4,0.56,0.00,0,0.0,-4.93,9.70,0.00,0.68
12502,15.50,13.60,176,1058,74.90,23.50,3.61,56,0.00,9.43,4.31,4,0.55,0.00,0,0.0,-5.08,9.79,0.00,0.68
12576,15.50,13.52,176,1112,74.90,24.00,3.80,56,0.00,9.29,4.31,4,0.55,0.00,0,0.0,-5.51,9.79,0.00,0.68
12651,15.50,13.52,176,1112,74.90,23.50,3.75,56,0.00,9.14,4.31,4,0.54,0.00,0,0.0,-5.66,9.88,0.00,0.68
12727,15.04,13.52,176,1124,74.90,24.50,3.60,56,0.00,9.00,4.31,4,0.56,0.00,0,0.0,-5.80,9.84,0.00,0.68
12802,15.16,13.60,176,1180,74.90,25.00,3.77,56,0.00,8.85,4.31,4,0.52,0.00,0,0.0,-5.95,9.79,0.00,0.68
12878,15.04,13.52,176,1190,74.90,25.00,3.81,56,0.00,8.71,3.92,5,0.51,0.00,0,0.0,-6.09,9.79,0.00,0.66
12953,15.04,13.52,176,1175,74.90,24.00,3.76,56,0.00,8.27,3.53,5,0.50,0.00,0,0.0,-6.24,9.04,0.00,0.66
13028,15.04,13.60,176,1201,74.90,23.50,3.84,56,0.00,8.13,3.14,5,0.47,0.00,0,0.0,-6.53,8.95,0.00,0.66
13104,15.04,13.52,176,1222,74.90,23.50,3.65,56,0.00,7.84,3.14,5,0.46,0.00,0,0.0,-6.96,8.87,0.00,0.66
