Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%)
1192,14.81,13.60,192,950,74.90,14.50,1.62,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.67,0.00
1257,14.70,13.60,192,946,74.90,15.00,1.61,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
1323,14.81,13.68,192,941,74.90,15.50,1.61,39,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.62,0.00
1390,14.81,13.60,192,944,74.90,15.00,1.61,39,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.62,0.00
1456,14.81,13.68,192,936,74.90,15.50,1.60,39,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.62,0.00
1524,14.93,13.60,192,944,74.90,15.50,1.61,39,0.00,4.93,0.00,0,0.23,0.00,-9.87,3.62,0.00
1588,14.81,13.60,192,942,74.90,15.50,1.61,39,0.00,4.93,0.00,0,0.24,0.00,-9.87,3.65,0.00
1657,14.93,13.60,192,947,74.90,14.00,1.62,39,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.67,0.00
1721,15.04,13.68,192,950,74.90,14.00,1.62,39,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.67,0.00
1786,15.04,13.60,192,952,74.90,13.50,1.63,39,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.65,0.00
1853,15.04,13.68,192,943,74.90,14.50,1.61,39,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.65,0.00
1918,15.27,13.60,192,948,74.90,14.00,1.62,39,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.67,0.00
1985,15.16,13.68,192,950,74.90,13.50,1.62,39,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.67,0.00
2052,15.39,13.60,192,956,74.90,13.00,1.63,39,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.67,0.00
2117,15.16,13.68,192,955,74.90,13.00,1.63,39,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.65,0.00
2184,15.27,13.68,192,964,74.90,12.00,1.65,39,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.65,0.00
2250,15.16,13.68,192,958,74.90,13.00,1.63,39,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.62,0.00
2318,15.16,13.68,192,960,74.90,13.00,1.64,39,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.62,0.00
2383,15.04,13.60,192,953,74.90,13.50,1.63,39,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.65,0.00
2449,15.04,13.68,192,948,74.90,13.00,1.62,39,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.67,0.00
2514,14.93,13.68,192,952,74.90,13.50,1.62,39,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.67,0.00
2581,14.93,13.68,192,952,74.90,14.00,1.62,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.65,0.00
2647,14.81,13.68,192,958,74.90,13.00,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
2713,14.81,13.76,192,956,74.90,13.50,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
2779,14.70,13.68,192,956,74.90,13.50,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
2845,14.81,13.68,192,951,74.90,14.00,1.62,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
2911,14.70,13.68,192,955,74.90,13.50,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
2978,14.70,13.68,192,953,74.90,14.00,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
3044,14.70,13.68,192,954,74.90,14.50,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.65,0.00
3110,14.81,13.68,192,947,74.90,14.50,1.62,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
3176,14.70,13.60,192,956,74.90,14.00,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
3242,14.70,13.68,192,952,74.90,13.50,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.67,0.00
3308,14.70,13.60,192,954,74.90,14.00,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
3375,14.70,13.68,192,951,74.90,13.50,1.62,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.65,0.00
3440,14.81,13.68,192,954,74.90,14.00,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
3507,14.81,13.68,192,951,74.90,13.50,1.62,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
3573,14.70,13.68,192,955,74.90,14.00,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.67,0.00
3639,14.70,13.68,192,950,74.90,13.50,1.62,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.65,0.00
3706,14.81,13.60,192,955,74.90,14.00,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
3771,14.59,13.68,192,952,74.90,13.00,1.62,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.65,0.00
3837,14.70,13.60,192,955,74.90,13.50,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.67,0.00
3904,14.59,13.68,192,954,74.90,13.50,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.67,0.00
3969,14.70,13.60,192,954,74.90,13.00,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.65,0.00
4035,14.47,13.60,192,956,74.90,14.00,1.63,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.67,0.00
4102,14.47,13.60,192,951,74.90,14.00,1.62,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.65,0.00
4168,14.70,13.60,192,949,74.90,14.00,1.62,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
4233,14.59,13.52,192,952,74.90,14.00,1.62,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.65,0.00
4301,14.70,13.68,192,943,74.90,14.50,1.62,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.65,0.00
4367,14.47,13.52,192,943,74.90,14.50,1.61,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
4433,14.70,13.68,192,942,74.90,14.50,1.61,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.67,0.00
4498,14.47,13.60,192,946,74.90,14.00,1.61,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.65,0.00
4565,14.59,13.68,192,946,74.90,14.00,1.61,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.67,0.00
4631,14.47,13.60,192,947,74.90,14.00,1.61,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
4697,14.59,13.68,192,942,74.90,14.50,1.62,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.67,0.00
4763,14.36,13.60,192,946,74.90,14.00,1.61,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.62,0.00
4830,14.59,13.68,192,942,74.90,14.50,1.61,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.67,0.00
4898,14.59,13.60,192,950,74.90,14.50,1.61,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.68,0.00
4964,14.47,13.60,192,948,74.90,14.00,1.62,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.67,0.00
5030,14.59,13.68,192,951,74.90,13.50,1.62,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.67,0.00
5097,14.47,13.68,192,948,74.90,14.00,1.62,39,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.67,0.00
5162,14.59,13.60,192,949,74.90,13.50,1.62,40,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.65,0.00
5227,14.47,13.68,192,945,74.90,14.00,1.61,40,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.65,0.00
5293,14.70,13.60,192,942,74.90,14.00,1.61,40,0.00,4.64,0.00,0,0.23,0.00,-10.16,3.67,0.00
5360,14.47,13.68,192,941,74.90,14.00,1.61,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.67,0.00
5425,14.59,13.60,192,948,74.90,13.50,1.62,40,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.67,0.00
5492,14.59,13.68,192,945,74.90,14.00,1.61,40,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.67,0.00
5558,14.59,13.60,192,944,74.90,14.00,1.61,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.67,0.00
5623,14.59,13.68,192,938,74.90,14.50,1.60,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.67,0.00
5690,14.70,13.68,192,944,74.90,14.00,1.61,40,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.67,0.00
5757,14.59,13.68,192,946,74.90,13.50,1.61,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.72,0.00
5823,14.70,13.68,192,949,74.90,13.00,1.62,40,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.67,0.00
5889,14.47,13.68,192,942,74.90,14.00,1.61,40,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.67,0.00
5955,14.70,13.68,192,944,74.90,13.50,1.61,40,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.67,0.00
6021,14.59,13.68,192,935,74.90,14.00,1.60,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.69,0.00
6086,14.70,13.68,192,926,74.90,15.50,1.78,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.69,0.00
6153,14.59,13.68,192,934,74.90,14.50,1.59,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.72,0.00
6218,14.70,13.68,192,941,74.90,14.00,1.61,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.72,0.00
6286,14.59,13.68,192,944,74.90,13.50,1.61,40,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.69,0.00
6351,14.70,13.68,192,937,74.90,14.00,1.60,40,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.70,0.00
6418,14.59,13.68,192,939,74.90,14.00,1.60,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.67,0.00
6483,14.70,13.68,192,934,74.90,14.50,1.59,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.72,0.00
6550,14.59,13.68,192,936,74.90,14.00,1.60,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.67,0.00
6616,14.70,13.68,192,937,74.90,14.00,1.60,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.72,0.00
6682,14.59,13.68,192,938,74.90,14.00,1.60,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.69,0.00
6748,14.70,13.68,192,932,74.90,14.50,1.59,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.72,0.00
6814,14.59,13.68,192,937,74.90,14.00,1.60,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.72,0.00
6880,14.70,13.68,192,936,74.90,14.00,1.60,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.72,0.00
6946,14.59,13.68,192,944,74.90,13.50,1.61,40,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.72,0.00
7012,14.70,13.68,192,943,74.90,13.50,1.61,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.67,0.00
7078,14.70,13.68,192,942,74.90,13.50,1.61,40,0.00,4.79,0.00,0,0.23,0.00,-10.01,3.72,0.00
7145,14.70,13.60,192,941,74.90,14.00,1.61,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.72,0.00
7212,14.59,13.68,192,946,74.90,13.50,1.61,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.72,0.00
7277,14.59,13.52,192,938,74.90,14.00,1.60,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.69,0.00
7344,14.70,13.60,192,942,74.90,14.00,1.61,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.75,0.00
7410,14.70,13.52,192,943,74.90,13.50,1.61,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.75,0.00
7477,14.70,13.68,192,946,74.90,13.00,1.61,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.72,0.00
7543,14.70,13.52,192,944,74.90,13.50,1.61,40,0.00,4.79,0.00,0,0.24,0.00,-10.01,3.69,0.00
7609,14.70,13.68,192,950,74.90,13.00,1.62,40,0.00,4.93,0.00,0,0.24,0.00,-9.87,3.72,0.00
7674,14.70,13.60,192,939,74.90,14.00,1.60,40,0.00,4.93,0.00,0,0.23,0.00,-9.87,3.67,0.00
7742,14.70,13.68,192,949,74.90,13.00,1.62,40,0.00,5.08,0.00,0,0.23,0.00,-9.72,3.69,0.00
7808,14.59,13.60,192,950,74.90,13.00,1.62,40,0.00,5.08,0.00,0,0.23,0.00,-9.72,3.67,0.00
7874,14.70,13.68,192,953,74.90,12.50,1.63,40,0.00,5.08,0.00,0,0.24,0.00,-9.72,3.69,0.00
7940,14.70,13.60,192,939,74.90,14.00,1.60,40,0.00,5.08,0.00,0,0.24,0.00,-9.72,3.69,0.00
8005,14.81,13.68,192,940,74.90,14.00,1.60,40,0.00,4.93,0.00,0,0.24,0.00,-9.87,3.72,0.00
8072,14.93,13.68,192,941,74.90,14.00,1.81,40,0.00,4.93,0.00,0,0.29,0.00,-9.87,3.75,0.00
8137,15.16,13.68,192,947,74.90,13.00,2.22,40,0.00,5.08,0.00,0,0.32,0.00,-9.72,4.61,0.00
8204,15.27,13.68,192,947,74.90,13.00,2.42,40,0.00,5.37,0.00,0,0.33,0.00,-9.43,5.13,0.00
8270,15.85,13.68,192,984,74.90,10.50,2.31,40,0.00,5.51,0.00,0,0.34,0.00,-9.29,5.29,0.00
8337,15.73,13.60,192,1011,74.90,7.00,2.16,40,0.00,5.66,0.00,0,0.30,0.00,-9.14,5.13,0.00
8402,15.39,13.68,192,1028,74.90,6.00,2.19,40,0.00,5.51,0.00,0,0.29,0.00,-9.29,4.75,0.00
8469,15.04,13.60,192,1044,74.90,6.00,2.23,40,0.00,5.37,0.00,0,0.31,0.00,-9.43,4.53,0.00
8534,14.13,13.68,192,1060,74.90,6.00,2.04,40,0.00,5.22,0.00,0,0.27,0.00,-9.58,4.47,0.00
8601,13.78,13.60,192,1068,74.90,6.00,2.05,40,0.00,5.22,0.00,0,0.25,0.00,-9.58,4.47,0.00
8667,13.21,13.68,192,1067,74.90,6.00,1.82,40,0.00,5.08,0.00,0,0.26,0.00,-9.72,4.53,0.00
8733,13.21,13.60,192,1044,74.90,6.00,2.00,40,0.00,5.08,0.00,0,0.28,0.00,-9.72,4.59,0.00
8800,13.44,13.68,192,1024,74.90,10.00,2.18,40,0.00,5.08,0.00,0,0.29,0.00,-9.72,4.72,0.00
8866,13.55,13.60,192,1006,74.90,12.00,2.15,40,0.00,5.08,0.39,0,0.31,0.00,-9.72,4.88,0.00
8931,13.78,13.68,192,1004,74.90,12.50,2.36,40,0.00,5.22,1.18,0,0.34,0.00,-9.58,5.29,0.00
8998,14.01,13.68,192,1004,74.90,14.00,2.57,40,0.00,5.51,1.57,0,0.33,0.00,-9.29,5.74,0.00
9064,14.59,13.68,192,1034,74.90,15.00,2.43,40,0.00,5.66,2.35,0,0.35,0.00,-9.14,5.71,0.00
9130,14.59,13.68,192,1052,74.90,15.50,2.47,40,0.00,5.80,2.35,0,0.35,0.00,-9.00,6.07,0.00
9196,14.81,13.68,192,1075,74.90,16.50,2.52,40,0.00,5.95,2.75,0,0.35,0.00,-8.85,6.26,0.00
9263,14.59,13.68,192,1109,74.90,17.50,2.60,40,0.00,6.09,2.75,0,0.35,0.00,-8.71,6.55,0.00
9328,14.36,13.68,192,1132,74.90,18.50,2.66,40,0.00,6.09,2.75,0,0.35,0.00,-8.71,6.62,0.00
9394,14.01,13.76,192,1174,74.90,20.00,2.76,40,0.00,6.24,3.14,0,0.35,0.00,-8.56,6.77,0.00
9461,13.78,13.68,192,1189,74.90,21.00,2.79,40,0.00,6.24,3.14,0,0.36,0.00,-8.56,6.88,0.00
9527,14.01,13.68,192,1192,74.90,21.00,2.80,40,0.00,6.24,3.14,0,0.35,0.00,-8.56,7.10,0.00
9593,14.24,13.68,192,1208,74.90,21.00,2.83,40,0.00,6.38,3.14,0,0.36,0.00,-8.42,7.10,0.00
9659,14.36,13.68,192,1209,74.90,21.00,2.84,40,0.00,6.38,3.14,0,0.36,0.00,-8.42,7.14,0.00
9726,14.70,13.68,192,1200,74.90,21.00,2.82,40,0.00,6.38,3.14,0,0.34,0.00,-8.42,7.24,0.00
9792,14.93,13.68,192,1202,74.90,21.00,2.56,40,0.00,6.38,3.14,0,0.33,0.00,-8.42,6.77,0.00
9859,15.04,13.68,192,1205,74.90,21.00,2.83,40,0.00,6.24,3.14,0,0.33,0.00,-8.56,6.44,0.00
9925,15.27,13.68,192,1182,74.90,21.00,2.77,40,0.00,6.09,3.14,0,0.33,0.00,-8.71,6.44,0.00
9990,15.16,13.68,192,1175,74.90,20.50,2.76,40,0.00,6.09,3.14,0,0.33,0.00,-8.71,6.37,0.00
10056,15.16,13.68,192,1164,74.90,20.50,2.73,40,0.00,6.09,3.14,0,0.34,0.00,-8.71,6.40,0.00
10123,15.27,13.68,192,1152,74.90,20.50,2.70,40,0.00,6.09,3.14,0,0.35,0.00,-8.71,6.37,0.00
10189,15.16,13.68,192,1123,74.90,20.50,2.64,40,0.00,6.09,3.53,0,0.36,0.00,-8.71,6.55,0.00
10255,15.16,13.68,192,1110,74.90,20.50,2.61,40,0.00,6.24,3.53,0,0.37,0.00,-8.56,6.62,0.00
10321,15.16,13.68,192,1114,74.90,20.50,2.85,40,0.00,6.24,3.92,0,0.38,0.00,-8.56,6.84,0.00
10388,15.04,13.68,192,1113,74.90,21.00,2.85,40,0.00,6.38,3.92,0,0.38,0.00,-8.42,6.95,0.00
10456,14.93,13.68,192,1115,74.90,21.00,2.85,40,0.00,6.53,3.92,0,0.38,0.00,-8.27,7.06,0.00
10520,14.81,13.60,192,1116,74.90,21.00,2.85,40,0.00,6.53,3.92,0,0.38,0.00,-8.27,7.14,0.00
10587,14.81,13.68,192,1133,74.90,21.00,2.86,40,0.00,6.67,3.92,0,0.39,0.00,-8.13,7.14,0.00
10653,14.47,13.68,192,1135,74.90,21.00,2.90,40,0.00,6.67,3.92,0,0.38,0.00,-8.13,7.24,0.00
10718,14.47,13.68,192,1127,74.90,21.00,2.91,40,0.00,6.82,3.92,0,0.39,0.00,-7.98,7.29,0.00
10786,14.47,13.60,192,1121,74.90,21.00,2.88,40,0.00,6.82,3.92,0,0.39,0.00,-7.98,7.29,0.00
10851,14.36,13.68,192,1117,74.90,21.00,2.87,40,0.00,6.82,3.92,0,0.40,0.00,-7.98,7.33,0.00
10918,14.59,13.60,192,1112,74.90,21.00,2.86,40,0.00,6.82,4.31,0,0.41,0.00,-7.98,7.37,0.00
10984,14.70,13.68,192,1099,74.90,21.00,2.85,40,0.00,6.96,4.31,0,0.41,0.00,-7.84,7.50,0.00
11049,14.70,13.60,192,1096,74.90,21.00,3.05,40,0.00,6.96,4.31,0,0.41,0.00,-7.84,7.50,0.00
11116,14.81,13.68,192,1099,74.90,21.00,3.04,40,0.00,7.11,4.31,0,0.41,0.00,-7.69,7.57,0.00
11181,14.70,13.68,192,1104,74.90,21.00,3.05,40,0.00,7.11,4.31,0,0.42,0.00,-7.69,7.57,0.00
11247,14.81,13.68,192,1106,74.90,21.00,3.06,40,0.00,7.25,4.31,0,0.42,0.00,-7.55,7.62,0.00
11314,14.70,13.60,192,1102,74.90,21.00,3.07,40,0.00,7.25,4.31,0,0.42,0.00,-7.55,7.70,0.00
11381,14.70,13.68,192,1100,74.90,21.00,3.05,40,0.00,7.25,4.31,0,0.42,0.00,-7.55,7.78,0.00
11446,14.70,13.68,192,1105,74.90,21.00,3.06,40,0.00,7.25,4.31,0,0.42,0.00,-7.55,7.78,0.00
11513,14.59,13.68,192,1113,74.90,21.00,3.09,40,0.00,7.25,4.31,0,0.43,0.00,-7.55,7.82,0.00
11578,14.70,13.60,192,1115,74.90,21.00,3.09,40,0.00,7.40,4.31,0,0.42,0.00,-7.40,7.86,0.00
11644,14.70,13.68,192,1117,74.90,21.00,3.10,40,0.00,7.40,4.31,1,0.42,0.00,-7.40,7.78,0.00
11712,14.70,13.68,192,1116,74.90,21.00,3.10,40,0.00,7.40,4.31,1,0.42,0.00,-7.40,7.86,0.00
11778,14.81,13.68,192,1126,74.90,21.00,3.12,40,0.00,7.40,4.31,1,0.42,0.00,-7.40,7.86,0.00
11843,14.70,13.60,192,1125,74.90,21.00,3.12,40,0.00,7.40,4.31,1,0.42,0.00,-7.40,7.86,0.00
11909,14.81,13.68,192,1124,74.90,21.00,3.12,40,0.00,7.40,4.71,1,0.42,0.00,-7.40,7.95,0.00
11976,14.81,13.60,192,1118,74.90,21.00,3.10,40,0.00,7.40,4.71,1,0.42,0.00,-7.40,7.94,0.00
12043,14.93,13.68,192,1113,74.90,21.00,3.09,40,0.00,7.40,4.71,1,0.43,0.00,-7.40,7.86,0.00
12107,14.93,13.60,192,1116,74.90,21.00,3.10,40,0.00,7.40,4.71,1,0.42,0.00,-7.40,7.86,0.00
12174,14.81,13.68,192,1110,74.90,21.00,3.08,40,0.00,7.40,4.71,1,0.43,0.00,-7.40,7.86,0.00
12240,15.04,13.68,192,1097,74.90,21.00,3.04,40,0.00,7.40,4.71,1,0.43,0.00,-7.40,7.82,0.00
12306,15.04,13.68,192,1094,74.90,21.00,3.04,40,0.00,7.55,4.71,1,0.43,0.00,-7.25,7.82,0.00
12372,15.04,13.68,192,1086,74.90,21.00,3.01,40,0.00,7.55,4.71,1,0.47,0.00,-7.25,7.86,0.00
12438,15.16,13.68,192,1086,74.90,21.00,3.01,40,0.00,7.55,4.71,1,0.44,0.00,-7.25,7.94,0.00
12505,15.04,13.68,192,1082,74.90,21.00,3.00,40,0.00,7.55,4.71,1,0.44,0.00,-7.25,7.90,0.00
12571,15.16,13.68,192,1078,74.90,21.00,2.99,40,0.00,7.55,4.71,2,0.45,0.00,-7.25,7.90,0.00
12637,15.04,13.76,192,1064,74.90,21.00,2.95,40,0.00,7.69,4.71,2,0.45,0.00,-7.11,7.94,0.00
12703,14.93,13.68,192,1060,74.90,21.00,2.94,40,0.00,7.69,4.71,2,0.45,0.00,-7.11,8.03,0.00
12769,14.93,13.68,192,1058,74.90,21.00,2.94,40,0.00,7.69,4.31,2,0.44,0.00,-7.11,7.94,0.00
12836,14.93,13.68,192,1060,74.90,21.00,2.94,40,0.00,7.69,4.31,2,0.45,0.00,-7.11,7.94,0.00
12902,15.04,13.68,192,1056,74.90,21.00,2.93,40,0.00,7.69,4.71,2,0.46,0.00,-7.11,7.90,0.00
12967,14.93,13.68,192,1051,74.90,21.00,2.91,40,0.00,7.69,4.31,2,0.42,0.00,-7.11,7.98,0.00
13034,15.04,13.76,192,1039,74.90,26.00,2.44,40,0.00,7.11,0.00,2,0.39,0.00,-7.69,7.98,0.00
13101,15.16,13.68,192,1029,74.90,25.50,2.42,40,0.00,6.38,0.00,2,0.35,0.00,-8.42,5.69,0.00
13167,15.04,13.68,192,997,74.90,26.50,2.13,40,0.00,5.95,0.00,2,0.33,0.00,-8.85,3.40,0.00
13231,14.81,13.68,192,954,74.90,25.00,1.83,40,0.00,5.80,0.00,2,0.31,0.00,-9.00,3.25,0.00
13299,14.70,13.68,192,936,74.90,24.00,1.80,40,0.00,5.66,0.00,2,0.27,0.00,-9.14,3.42,0.00
13364,14.59,13.68,192,975,74.90,23.50,1.87,40,0.00,5.51,0.00,2,0.26,0.00,-9.29,3.62,0.00
13431,14.36,13.68,192,1029,74.90,17.00,1.76,40,0.00,5.22,0.00,2,0.24,0.00,-9.58,3.62,0.00
13496,14.59,13.68,192,1054,74.90,14.00,1.80,40,0.00,4.93,0.00,4,0.23,0.00,-9.87,3.52,0.00
13562,14.36,13.68,192,1064,74.90,12.00,1.82,40,0.00,4.79,0.00,4,0.22,0.00,-10.01,3.30,0.00
13630,14.59,13.68,192,1067,74.90,12.00,1.82,40,0.00,4.79,0.00,4,0.21,0.00,-10.01,3.38,0.00
13695,14.70,13.68,192,1048,74.90,14.00,1.79,40,0.00,4.64,0.00,4,0.22,0.00,-10.16,3.52,0.00
13761,14.81,13.68,192,1025,74.90,16.50,1.75,40,0.00,4.50,0.00,4,0.19,0.00,-10.30,3.70,0.00
13827,14.81,13.68,192,1016,74.90,17.50,1.73,40,0.00,4.64,0.00,4,0.24,0.00,-10.16,3.80,0.00
