Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Fine Learning Knock Correction* (degrees)
5173,14.70,13.60,192,858,74.90,13.00,1.65,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
5233,14.81,13.68,192,852,74.90,14.00,1.64,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
5295,14.81,13.60,192,856,74.90,13.50,1.64,46,0.00,4.93,0.00,0,-9.72,3.75,0.00,0.00
5357,14.93,13.68,192,857,74.90,13.50,1.65,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
5418,14.93,13.60,192,864,74.90,13.00,1.66,46,0.00,4.93,0.00,0,-9.72,3.80,0.00,0.00
5480,14.93,13.68,192,861,74.90,13.00,1.65,46,0.00,4.79,0.00,0,-9.87,3.80,0.00,0.00
5542,14.93,13.60,192,867,74.90,12.50,1.66,46,0.00,4.93,0.00,0,-9.72,3.83,0.00,0.00
5603,14.93,13.68,192,871,74.90,12.00,1.67,46,0.00,4.79,0.00,0,-9.87,3.82,0.00,0.00
5665,14.93,13.60,192,873,74.90,12.00,1.68,46,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
5726,14.93,13.68,192,876,74.90,12.00,1.68,46,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
5789,14.93,13.60,192,875,74.90,12.00,1.68,46,0.00,4.79,0.00,0,-9.87,3.70,0.00,0.00
5852,14.93,13.68,192,870,74.90,13.00,1.68,46,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
5914,14.93,13.60,192,870,74.90,14.00,1.67,46,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
5973,14.93,13.68,192,862,74.90,13.50,1.65,46,0.00,4.79,0.00,0,-9.87,3.78,0.00,0.00
6034,14.81,13.60,192,865,74.90,13.50,1.66,46,0.00,4.79,0.00,0,-9.87,3.78,0.00,0.00
6097,14.81,13.60,192,865,74.90,13.50,1.66,46,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
6157,14.93,13.60,192,869,74.90,13.50,1.67,46,0.00,4.79,0.00,0,-9.87,3.75,0.00,0.00
