Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Knock Correction Advance (degrees)
92759,0.00,0.00,12.63,13.52,183,0.19,1233,0.00,0.00,33.33,16,14.00,1.59,102,-11.17,1.34,0.00,0.00,0.00
93016,0.00,0.00,12.52,13.52,183,0.19,1241,0.00,0.00,33.33,16,13.00,1.58,102,-11.03,1.34,0.00,0.00,0.00
93274,0.00,0.00,12.52,13.44,183,0.19,1244,0.00,0.00,33.33,16,12.50,1.59,102,-11.17,1.34,0.00,0.00,0.00
93530,0.00,0.00,12.52,13.44,183,0.19,1250,0.00,0.00,33.33,16,11.50,1.60,102,-11.03,1.34,0.00,0.00,0.00
93787,0.00,0.00,12.52,13.44,183,0.19,1235,0.00,0.00,33.33,16,13.50,1.58,102,-11.03,1.34,0.00,0.00,0.00
94043,0.00,0.00,12.52,13.36,183,0.19,1245,0.00,0.00,33.33,16,12.50,1.59,102,-11.03,1.34,0.00,0.00,0.00
94300,0.00,0.00,12.52,13.36,183,0.19,1238,0.00,0.00,33.33,16,12.00,1.58,104,-11.03,1.34,0.00,0.00,0.00
94558,0.00,0.00,12.52,13.36,183,0.19,1242,0.00,0.00,33.33,16,13.00,1.59,104,-11.03,1.34,0.00,0.00,0.00
94814,0.00,0.00,12.52,13.44,183,0.19,1253,0.00,0.00,33.33,16,11.50,1.60,104,-11.17,1.34,0.00,0.00,0.00
95071,0.00,0.00,12.52,13.44,183,0.19,1243,0.00,0.00,33.33,16,13.50,1.58,104,-11.17,1.34,0.00,0.00,0.00
95328,0.00,0.00,12.52,13.44,183,0.19,1244,0.00,0.00,33.33,16,11.50,1.60,104,-11.03,1.34,0.00,0.00,0.00
95585,0.00,0.00,12.52,13.68,183,0.19,1252,0.00,0.00,33.33,16,12.00,1.58,104,-11.17,1.34,0.00,0.00,0.00
95842,0.00,0.00,12.52,13.68,183,0.19,1239,0.00,0.00,33.33,16,13.00,1.60,104,-11.03,1.34,0.00,0.00,0.00
96098,0.00,0.00,12.52,13.60,183,0.19,1248,0.00,0.00,33.33,16,12.50,1.59,104,-11.17,1.34,0.00,0.00,0.00
96355,0.00,0.00,12.52,13.60,183,0.19,1241,0.00,0.00,33.33,16,13.00,1.59,104,-11.17,1.34,0.00,0.00,0.00
96613,0.00,0.00,12.52,13.52,183,0.19,1260,0.00,0.00,33.33,16,11.00,1.61,104,-11.17,1.34,0.00,0.00,0.00
96869,0.00,0.00,12.52,13.52,183,0.19,1243,0.00,0.00,33.33,16,13.00,1.59,104,-11.17,1.34,0.00,0.00,0.00
97127,0.00,0.00,12.52,13.44,183,0.19,1253,0.00,0.00,33.33,16,12.00,1.60,104,-11.17,1.34,0.00,0.00,0.00
97384,0.00,0.00,12.52,13.44,183,0.19,1246,0.00,0.00,33.33,16,12.00,1.60,104,-11.17,1.34,0.00,0.00,0.00
97640,0.00,0.00,12.40,13.44,183,0.19,1260,0.00,0.00,33.33,16,13.00,1.61,104,-11.17,1.34,0.00,0.00,0.00
97897,0.00,0.00,12.40,13.44,183,0.19,1250,0.00,0.00,33.33,16,13.00,1.60,104,-11.17,1.34,0.00,0.00,0.00
98154,0.00,0.00,12.40,13.52,183,0.19,1243,0.00,0.00,33.33,16,13.00,1.59,104,-11.17,1.34,0.00,0.00,0.00
98411,0.00,0.00,12.40,13.52,183,0.19,1254,0.00,0.00,33.33,16,11.50,1.61,104,-11.17,1.34,0.00,0.00,0.00
98668,0.00,0.00,12.52,13.68,183,0.19,1252,0.00,0.00,33.33,16,12.50,1.58,104,-11.17,1.34,0.00,0.00,0.00
98924,0.00,0.00,12.52,13.76,183,0.19,1243,0.00,0.00,33.33,16,13.00,1.60,104,-11.17,1.34,0.00,0.00,0.00
99180,0.00,0.00,12.52,13.68,183,0.19,1246,0.00,0.00,33.33,16,13.00,1.59,104,-11.17,1.34,0.00,0.00,0.00
99437,0.00,0.00,12.52,13.60,183,0.19,1239,0.00,0.00,33.33,16,13.50,1.60,104,-11.17,1.34,0.00,0.00,0.00
99694,0.00,0.00,12.52,13.60,183,0.19,1251,0.00,0.00,33.33,16,11.50,1.60,104,-11.03,1.34,0.00,0.00,0.00
99951,0.00,0.00,12.52,13.52,183,0.19,1250,0.00,0.00,33.33,16,12.00,1.60,104,-11.17,1.34,0.00,0.00,0.00
100208,0.00,0.00,12.52,13.52,183,0.19,1246,0.00,0.00,33.33,16,13.00,1.59,104,-11.17,1.34,0.00,0.00,0.00
100464,0.00,0.00,12.52,13.44,183,0.19,1240,0.00,0.00,33.33,16,11.50,1.59,104,-11.03,1.34,0.00,0.00,0.00
100721,0.00,0.00,12.52,13.44,183,0.19,1248,0.00,0.00,33.33,16,12.00,1.60,104,-11.17,1.34,0.00,0.00,0.00
100978,0.00,0.00,12.52,13.44,183,0.19,1251,0.00,0.00,33.33,16,12.00,1.60,104,-11.17,1.34,0.00,0.00,0.00
101235,0.00,0.00,12.52,13.52,183,0.19,1244,0.00,0.00,33.33,16,13.00,1.59,104,-11.17,1.34,0.00,0.00,0.00
101492,0.00,0.00,12.52,13.52,183,0.19,1249,0.00,0.00,33.33,16,12.00,1.60,104,-11.17,1.34,0.00,0.00,0.00
101748,0.00,0.00,12.52,13.60,183,0.19,1260,0.00,0.00,33.33,16,13.00,1.59,104,-11.17,1.34,0.00,0.00,0.00
102005,0.00,0.00,12.52,13.68,183,0.19,1245,0.00,0.00,33.33,16,13.00,1.61,104,-11.17,1.34,0.00,0.00,0.00
102262,0.00,0.00,12.52,13.68,183,0.19,1260,0.00,0.00,33.33,16,11.50,1.60,104,-11.17,1.34,0.00,0.00,0.00
102519,0.00,0.00,12.52,13.60,183,0.19,1255,0.00,0.00,33.33,16,12.50,1.62,104,-11.17,1.34,0.00,0.00,0.00
102775,0.00,0.00,12.52,13.60,183,0.19,1260,0.00,0.00,33.33,16,12.00,1.61,104,-11.17,1.34,0.00,0.00,0.00
103032,0.00,0.00,12.40,13.52,183,0.19,1251,0.00,0.00,33.33,16,13.00,1.60,104,-11.17,1.34,0.00,0.00,0.00
103289,0.00,0.00,12.40,13.52,183,0.19,1266,0.00,0.00,33.33,16,11.50,1.62,104,-11.17,1.34,0.00,0.00,0.00
103545,0.00,0.00,12.40,13.52,183,0.19,1256,0.00,0.00,33.33,16,13.00,1.61,104,-11.17,1.34,0.00,0.00,0.00
103803,0.00,0.00,12.40,13.52,183,0.19,1261,0.00,0.00,33.33,16,12.00,1.61,104,-11.17,1.34,0.00,0.00,0.00
104059,0.00,0.00,12.40,13.44,183,0.19,1248,0.00,0.00,33.33,16,13.50,1.60,104,-11.17,1.34,0.00,0.00,0.00
104317,0.00,0.00,12.40,13.52,183,0.19,1264,0.00,0.00,33.33,16,11.50,1.62,104,-11.17,1.34,0.00,0.00,0.00
104574,0.00,0.00,12.40,13.52,183,0.19,1252,0.00,0.00,33.33,16,13.50,1.59,104,-11.17,1.34,0.00,0.00,0.00
104830,0.00,0.00,12.40,13.60,183,0.19,1247,0.00,0.00,33.33,16,12.00,1.61,104,-11.17,1.34,0.00,0.00,0.00
105087,0.00,0.00,12.40,13.60,183,0.19,1262,0.00,0.00,33.33,16,11.50,1.60,104,-11.17,1.34,0.00,0.00,0.00
