Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Knock Correction Advance (degrees)
22614,0.00,0.00,12.52,13.68,183,0.19,1224,0.00,0.00,33.33,16,12.50,1.57,100,-11.03,1.34,0.00,0.00,0.00
22871,0.00,0.00,12.52,13.68,183,0.19,1233,0.00,0.00,33.33,16,11.50,1.58,100,-11.03,1.34,0.00,0.00,0.00
23129,0.00,0.00,12.52,13.68,183,0.19,1228,0.00,0.00,33.33,16,12.50,1.57,100,-11.03,1.34,0.00,0.00,0.00
23386,0.00,0.00,12.40,13.68,183,0.19,1219,0.00,0.00,33.33,16,14.50,1.54,100,-10.88,1.34,0.00,0.00,0.00
23643,0.00,0.00,12.40,13.52,183,0.20,1215,0.00,0.00,33.33,16,13.00,1.57,100,-10.88,1.34,0.00,0.00,0.00
23900,0.00,0.00,12.40,13.52,183,0.19,1231,0.00,0.00,33.33,16,11.50,1.57,100,-11.03,1.34,0.00,0.00,0.00
24157,0.00,0.00,12.40,13.52,183,0.19,1230,0.00,0.00,33.33,16,11.50,1.57,100,-11.03,1.34,0.00,0.00,0.00
24414,0.00,0.00,12.40,13.52,183,0.19,1220,0.00,0.00,33.33,16,13.00,1.57,100,-11.03,1.34,0.00,0.00,0.00
24671,0.00,0.00,12.40,13.44,183,0.19,1224,0.00,0.00,33.33,16,12.50,1.57,100,-11.03,1.34,0.00,0.00,0.00
24927,0.00,0.00,12.40,13.52,183,0.20,1221,0.00,0.00,33.33,16,13.00,1.56,100,-11.03,1.34,0.00,0.00,0.00
