Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
18519,0.00,-3.12,13.09,13.68,190,0.55,3344,0.00,0.00,66.67,16,13.50,0.00,82,0.00,-11.03,2.08,0.00,0.00
18776,0.00,-3.12,23.66,13.52,190,0.99,3228,0.00,0.00,66.67,16,27.00,7.58,82,4.50,-6.96,2.48,2.35,18.04
19033,-14.84,-1.56,12.29,13.52,190,1.01,3168,0.00,0.00,66.67,16,8.00,7.44,82,4.50,-3.92,2.54,7.06,18.43
19290,-15.62,-1.56,13.78,13.52,190,1.01,3230,0.00,0.00,66.67,16,33.50,7.58,82,4.50,-3.48,2.56,7.45,18.43
19547,-17.19,-1.56,13.90,13.44,192,1.02,3252,0.00,0.00,66.67,16,8.50,7.63,82,4.50,-3.34,2.60,7.45,18.43
19805,-11.72,-1.56,14.36,13.52,192,1.03,3265,0.00,0.00,66.67,16,-1.50,6.91,82,4.50,-3.05,2.58,7.84,18.82
20062,-1.56,-1.56,15.50,13.60,192,1.04,3143,0.00,0.00,66.67,16,34.50,7.77,82,4.50,-2.76,2.62,8.24,19.61
20320,0.78,-1.56,14.93,13.60,192,1.08,3279,0.00,0.00,66.67,16,32.00,7.70,82,4.50,-2.18,2.66,9.41,20.39
20576,0.78,-1.56,14.59,13.60,192,1.06,3369,0.00,0.00,66.67,16,30.50,7.91,82,4.50,-1.89,2.70,10.20,20.78
20834,-3.91,-1.56,14.59,13.60,192,1.11,3269,0.00,0.00,66.67,16,30.50,8.37,82,4.50,-1.60,2.70,10.20,20.78
21092,-5.47,-1.56,14.59,13.60,192,1.12,3265,0.00,0.00,66.67,16,30.50,8.36,82,4.50,-1.60,2.70,10.20,20.78
21349,-3.91,-1.56,14.93,13.68,192,1.09,3415,0.00,0.00,66.67,16,30.50,8.01,82,4.50,-1.60,2.74,10.20,20.78
21607,-4.69,-1.56,14.59,13.68,192,1.11,3363,0.00,0.00,66.67,16,30.50,8.61,82,4.50,-1.31,2.74,10.20,21.18
21864,-5.47,-1.56,14.70,13.68,192,1.13,3312,0.00,0.00,66.67,16,30.50,8.48,82,4.50,-1.16,2.76,10.20,21.18
22121,-3.91,-1.56,14.70,13.68,192,1.11,3434,0.00,0.00,66.67,16,30.50,8.79,82,4.50,-1.31,2.76,10.20,21.18
22378,-6.25,-1.56,14.70,13.52,192,1.11,3475,0.00,0.00,66.67,16,30.50,8.90,82,4.50,-1.16,2.76,10.59,21.18
22635,-6.25,-1.56,14.93,13.52,194,1.12,3450,0.00,0.00,66.67,16,30.00,8.83,82,4.50,-1.16,2.80,10.59,21.57
