Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
16960,0.78,6.25,14.47,13.68,178,0.41,2002,0.00,0.00,33.33,16,29.50,2.99,108,6.82,-7.98,1.90,0.00,7.45
17216,-1.56,6.25,14.36,13.52,178,0.42,2074,0.00,0.00,33.33,16,26.00,3.10,108,6.82,-7.98,1.90,0.00,7.84
17472,-0.78,6.25,14.70,13.52,178,0.42,2143,0.00,0.00,33.33,16,26.00,3.20,108,6.82,-7.98,1.94,0.00,8.63
17730,0.00,6.25,14.81,13.60,178,0.45,2286,0.00,0.00,33.33,16,29.50,3.35,108,6.82,-7.84,1.98,0.00,9.80
17987,1.56,6.25,14.81,13.60,178,0.48,2363,0.00,0.00,33.33,16,41.50,3.96,108,7.40,-7.40,2.06,0.00,10.98
18245,2.34,6.25,14.81,13.60,178,0.49,2416,0.00,0.00,33.33,16,28.00,4.12,108,7.69,-7.11,2.10,0.00,11.76
18502,2.34,6.25,14.70,13.60,178,0.51,2534,0.00,0.00,33.33,16,32.00,4.32,108,7.55,-7.25,2.16,0.00,12.55
18759,3.12,6.25,14.70,13.60,178,0.52,2708,0.00,0.00,33.33,16,41.50,4.62,108,7.69,-7.11,2.20,0.39,12.94
19016,3.12,6.25,14.59,13.60,178,0.53,2772,0.00,0.00,33.33,16,31.00,4.73,108,7.84,-6.96,2.22,0.78,13.73
19272,2.34,6.25,14.59,13.52,178,0.52,2938,0.00,0.00,66.67,16,28.50,5.64,108,7.98,-6.82,2.24,1.18,13.73
19530,-0.78,6.25,14.36,13.52,178,0.51,3066,0.00,0.00,66.67,16,43.50,5.23,108,7.98,-6.82,2.26,1.18,14.12
19787,-0.78,6.25,14.70,13.52,178,0.51,3147,0.00,0.00,66.67,16,28.50,5.37,108,7.98,-6.82,2.28,1.57,14.12
20044,-0.78,6.25,14.59,13.52,178,0.51,3232,0.00,0.00,66.67,16,30.50,5.52,108,7.98,-6.82,2.30,1.57,14.12
20301,0.00,6.25,14.70,13.52,178,0.49,3354,0.00,0.00,66.67,16,28.00,5.72,109,7.98,-6.82,2.30,1.57,14.12
20558,0.00,6.25,14.70,13.28,178,0.44,3438,0.00,0.00,66.67,16,31.50,5.87,109,7.55,-7.25,2.30,0.00,0.00
20816,0.00,6.25,12.17,13.36,178,0.15,3313,0.00,0.00,66.67,16,21.50,0.00,109,2.90,-11.90,1.44,0.00,0.00
21073,0.00,5.47,12.86,13.36,178,0.14,2873,0.00,0.00,66.67,16,17.50,0.00,109,2.90,-11.90,1.54,0.00,0.00
21329,0.00,6.25,22.05,13.52,178,0.76,2427,0.00,0.00,33.33,16,20.00,5.08,109,5.37,-6.67,2.14,0.00,16.47
21586,0.00,6.25,16.19,13.44,178,0.75,2041,0.00,0.00,33.33,16,30.50,4.79,109,11.46,-3.34,2.28,3.53,16.47
21844,1.56,6.25,15.39,13.52,178,0.73,2099,0.00,0.00,33.33,16,37.00,4.93,109,11.90,-2.90,2.26,3.53,16.86
22101,11.72,6.25,14.81,13.52,178,0.76,2190,0.00,0.00,33.33,16,45.00,5.14,109,11.90,-2.90,2.28,3.92,17.25
22357,13.28,6.25,14.01,13.52,178,0.76,2303,0.00,0.00,33.33,16,37.50,5.90,109,11.90,-2.90,2.34,4.31,17.65
22622,13.28,6.25,13.78,13.52,178,0.76,2341,0.00,0.00,33.33,16,31.00,5.99,109,11.90,-2.90,2.36,4.71,18.43
22880,7.03,6.25,13.78,13.52,178,0.77,2418,0.00,0.00,33.33,16,31.00,5.67,109,12.04,-2.76,2.38,5.10,18.82
23136,5.47,6.25,14.36,13.52,178,0.77,2547,0.00,0.00,33.33,16,44.50,5.98,111,11.90,-2.90,2.42,5.10,18.82
23393,4.69,6.25,14.70,13.52,178,0.78,2569,0.00,0.00,33.33,16,36.00,6.03,111,11.90,-2.90,2.44,5.49,18.82
23651,4.69,6.25,14.59,13.60,178,0.77,2721,0.00,0.00,33.33,16,36.50,6.39,111,11.75,-3.05,2.46,5.49,19.22
23907,3.91,6.25,14.70,13.36,178,0.78,2757,0.00,0.00,66.67,16,35.00,6.47,111,11.75,-3.05,2.48,5.49,19.22
24164,2.34,6.25,14.36,13.36,178,0.77,2758,0.00,0.00,66.67,16,31.00,6.77,111,11.61,-3.19,2.50,5.49,19.22
24421,0.78,6.25,14.47,13.44,178,0.78,2916,0.00,0.00,66.67,16,36.50,6.84,111,11.61,-3.19,2.52,5.49,19.22
24677,-1.56,6.25,14.47,13.44,178,0.77,2977,0.00,0.00,66.67,16,46.00,7.02,111,11.61,-3.19,2.52,5.49,19.22
24935,-1.56,6.25,14.70,13.44,178,0.74,3066,0.00,0.00,66.67,16,45.00,7.19,111,11.61,-3.19,2.54,5.49,19.22
25191,-2.34,6.25,14.59,13.44,178,0.75,3151,0.00,0.00,66.67,16,31.00,6.72,111,11.61,-3.19,2.54,5.49,19.22
25448,-2.34,6.25,14.70,13.52,178,0.73,3213,0.00,0.00,66.67,16,31.00,6.85,109,11.46,-3.34,2.54,5.49,18.82
25704,-2.34,6.25,14.70,13.52,178,0.73,3274,0.00,0.00,66.67,16,31.00,6.98,109,11.46,-3.34,2.56,5.49,19.22
