Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Turbo Dynamics Burst* (absolute %)
22504,-21.88,-0.78,12.63,13.28,180,0.07,822,0.00,0.00,33.33,16,12.00,1.05,66,4.50,-10.30,1.18,0.00,0.00,0.00
22778,-21.88,-0.78,12.63,13.28,180,0.07,817,0.00,0.00,33.33,16,12.50,1.05,66,4.50,-10.30,1.18,0.00,0.00,0.00
23052,-21.88,-0.78,12.52,13.28,180,0.07,794,0.00,0.00,33.33,16,13.00,1.02,66,4.50,-10.30,1.18,0.00,0.00,0.00
23327,-21.88,-0.78,12.52,13.28,180,0.07,816,0.00,0.00,33.33,16,11.50,1.04,66,4.64,-10.16,1.20,0.00,0.00,0.00
23601,-21.88,-0.78,12.52,13.36,180,0.07,814,0.00,0.00,33.33,16,12.00,1.05,66,4.64,-10.30,1.18,0.00,0.00,0.00
23875,-21.88,-0.78,12.52,13.44,180,0.07,820,0.00,0.00,33.33,16,11.50,1.05,66,4.50,-10.30,1.20,0.00,0.00,0.00
24150,-21.88,-0.78,12.52,13.52,180,0.07,816,0.00,0.00,33.33,16,11.50,1.04,66,4.64,-10.16,1.20,0.00,0.00,0.00
24424,-21.88,-0.78,12.52,13.44,180,0.07,823,0.00,0.00,33.33,16,11.00,1.05,66,4.64,-10.16,1.20,0.00,0.00,0.00
24699,-22.66,-0.78,12.52,13.52,180,0.08,829,0.00,0.00,33.33,16,10.50,1.05,66,4.50,-10.30,1.20,0.00,0.00,0.00
24973,-21.88,-0.78,12.63,13.36,180,0.07,822,0.00,0.00,33.33,16,11.00,1.05,66,4.50,-10.30,1.18,0.00,0.00,0.00
25247,-21.88,-0.78,12.63,13.36,180,0.07,828,0.00,0.00,33.33,16,10.50,1.06,66,4.50,-10.30,1.18,0.00,0.00,0.00
25521,-22.66,-0.78,12.52,13.28,180,0.07,822,0.00,0.00,33.33,16,11.50,1.05,66,4.50,-10.30,1.20,0.00,0.00,0.00
25796,-21.88,-0.78,12.63,13.28,180,0.07,814,0.00,0.00,33.33,16,12.00,1.04,66,4.50,-10.30,1.20,0.00,0.00,0.00
26071,-21.88,-0.78,12.63,13.44,180,0.07,809,0.00,0.00,33.33,16,12.00,1.04,66,4.50,-10.30,1.20,0.00,0.00,0.00
26344,-22.66,-0.78,12.63,13.36,180,0.07,822,0.00,0.00,33.33,16,11.00,1.05,66,4.64,-10.16,1.20,0.00,0.00,0.00
26619,-22.66,-0.78,12.52,13.36,180,0.07,824,0.00,0.00,33.33,16,11.00,1.04,66,4.50,-10.30,1.20,0.00,0.00,0.00
26893,-22.66,-0.78,12.52,13.36,180,0.07,820,0.00,0.00,33.33,16,11.50,1.05,66,4.50,-10.30,1.20,0.00,0.00,0.00
27167,-22.66,-0.78,12.52,13.36,180,0.07,806,0.00,0.00,33.33,16,13.00,1.03,66,4.50,-10.30,1.20,0.00,0.00,0.00
27442,-22.66,-0.78,12.52,13.36,180,0.08,809,0.00,0.00,33.33,16,11.00,1.04,66,4.64,-10.16,1.18,0.00,0.00,0.00
