Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
25969,0.00,0.00,12.29,13.76,192,0.16,1161,0.00,0.00,33.33,16,10.00,1.49,91,3.92,-11.03,1.30,0.00,0.00
26226,0.00,0.00,12.29,13.76,192,0.15,1176,0.00,0.00,33.33,16,10.50,1.50,91,3.77,-11.17,1.30,0.00,0.00
26484,0.00,0.00,12.40,13.76,192,0.16,1165,0.00,0.00,33.33,16,11.50,1.49,91,3.77,-11.17,1.30,0.00,0.00
26741,0.00,0.00,12.29,13.76,192,0.15,1173,0.00,0.00,33.33,16,10.50,1.50,91,3.77,-11.17,1.30,0.00,0.00
26998,0.00,0.00,12.29,13.76,192,0.15,1171,0.00,0.00,33.33,16,11.00,1.50,91,3.77,-11.17,1.30,0.00,0.00
27255,0.00,0.00,12.29,13.68,192,0.15,1176,0.00,0.00,33.33,16,10.50,1.51,91,3.77,-11.17,1.30,0.00,0.00
27512,0.00,0.00,12.29,13.68,192,0.16,1162,0.00,0.00,33.33,16,12.00,1.49,91,3.77,-11.17,1.30,0.00,0.00
27769,0.00,0.00,12.29,13.68,192,0.16,1161,0.00,0.00,33.33,16,12.50,1.50,91,3.77,-11.17,1.30,0.00,0.00
28026,0.00,0.00,12.29,13.68,192,0.16,1160,0.00,0.00,33.33,16,12.50,1.49,91,3.77,-11.17,1.30,0.00,0.00
28283,0.00,0.00,12.29,13.68,192,0.16,1162,0.00,0.00,33.33,16,11.50,1.49,91,3.77,-11.17,1.30,0.00,0.00
28540,0.00,0.00,12.29,13.76,192,0.16,1155,0.00,0.00,33.33,16,13.00,1.48,91,3.77,-11.17,1.30,0.00,0.00
28796,0.00,0.00,12.29,13.76,192,0.16,1154,0.00,0.00,33.33,16,11.50,1.48,91,3.92,-11.03,1.30,0.00,0.00
29054,0.00,0.00,12.29,13.76,194,0.16,1165,0.00,0.00,33.33,16,10.50,1.49,91,3.77,-11.17,1.30,0.00,0.00
29312,0.00,0.00,12.29,13.76,194,0.16,1154,0.00,0.00,33.33,16,12.00,1.48,91,3.77,-11.17,1.30,0.00,0.00
29569,0.00,0.00,12.29,13.76,194,0.16,1164,0.00,0.00,33.33,16,12.50,1.49,91,3.92,-11.03,1.30,0.00,0.00
29825,0.00,0.00,12.29,13.68,194,0.15,1165,0.00,0.00,33.33,16,11.50,1.49,91,3.92,-11.03,1.30,0.00,0.00
30083,0.00,0.00,12.29,13.76,194,0.15,1180,0.00,0.00,33.33,16,10.00,1.51,91,3.77,-11.17,1.30,0.00,0.00
30339,0.00,0.00,12.29,13.76,194,0.15,1186,0.00,0.00,33.33,16,10.00,1.52,91,3.77,-11.17,1.30,0.00,0.00
30597,0.00,0.00,12.29,13.52,194,0.15,1177,0.00,0.00,33.33,16,11.00,1.51,91,3.77,-11.17,1.30,0.00,0.00
30854,0.00,0.00,12.29,13.60,194,0.15,1157,0.00,0.00,33.33,16,13.00,1.48,91,3.77,-11.17,1.30,0.00,0.00
31111,0.00,0.00,12.40,13.60,194,0.15,1159,0.00,0.00,33.33,16,13.00,1.50,91,3.77,-11.17,1.30,0.00,0.00
31369,0.00,0.00,12.29,13.60,194,0.15,1166,0.00,0.00,33.33,16,11.50,1.49,91,3.77,-11.17,1.30,0.00,0.00
31626,0.00,0.00,12.29,13.60,194,0.15,1162,0.00,0.00,33.33,16,12.00,1.49,91,3.77,-11.17,1.30,0.00,0.00
31883,0.00,0.00,12.29,13.60,194,0.16,1162,0.00,0.00,33.33,16,11.50,1.49,91,3.77,-11.17,1.30,0.00,0.00
32140,0.00,0.00,12.29,13.60,194,0.15,1164,0.00,0.00,33.33,16,11.50,1.49,91,3.77,-11.17,1.30,0.00,0.00
32396,0.00,0.00,12.29,13.68,194,0.15,1167,0.00,0.00,33.33,16,10.50,1.49,91,3.77,-11.17,1.30,0.00,0.00
32653,0.00,0.00,12.29,13.68,194,0.15,1183,0.00,0.00,33.33,16,10.50,1.51,91,3.77,-11.17,1.30,0.00,0.00
32910,0.00,0.00,12.29,13.68,194,0.15,1174,0.00,0.00,33.33,16,11.50,1.50,91,3.77,-11.17,1.30,0.00,0.00
33167,0.00,0.00,12.29,13.68,194,0.16,1164,0.00,0.00,33.33,16,12.00,1.49,91,3.77,-11.17,1.30,0.00,0.00
33425,0.00,0.00,12.29,13.68,194,0.15,1173,0.00,0.00,33.33,16,11.00,1.50,91,3.77,-11.17,1.30,0.00,0.00
33682,0.00,0.00,12.29,13.68,194,0.15,1168,0.00,0.00,33.33,16,10.50,1.50,91,3.77,-11.17,1.30,0.00,0.00
33938,0.00,0.00,12.29,13.60,194,0.15,1180,0.00,0.00,33.33,16,10.50,1.51,91,3.77,-11.17,1.30,0.00,0.00
34195,0.00,0.00,12.29,13.60,194,0.15,1168,0.00,0.00,33.33,16,12.00,1.49,91,3.77,-11.17,1.30,0.00,0.00
