Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
12873,-22.66,-0.78,14.81,13.76,181,0.34,744,100.00,7.50,1.29,100,5.95,-8.71,1.30,0.00,5.49
13099,-21.88,-0.78,14.81,14.00,181,0.37,742,100.00,9.00,1.27,100,6.09,-8.56,1.28,0.00,5.88
13325,-21.88,-0.78,14.81,14.00,181,0.35,778,100.00,5.00,1.46,100,6.24,-8.42,1.28,0.00,5.88
13551,-21.09,-0.78,14.81,13.92,181,0.36,795,100.00,4.50,1.50,100,6.24,-8.42,1.30,0.00,6.27
13777,-21.09,-0.78,14.70,13.84,181,0.34,817,100.00,3.50,1.38,100,6.24,-8.56,1.28,0.00,6.27
14003,-21.09,-0.78,14.70,14.00,181,0.35,812,100.00,5.00,1.56,100,6.24,-8.56,1.30,0.00,6.27
14228,-21.09,-0.78,14.70,14.00,181,0.35,830,100.00,6.00,1.59,100,6.24,-8.56,1.30,0.00,6.27
14454,-21.09,-0.78,14.59,13.92,181,0.35,832,100.00,6.00,1.61,100,6.24,-8.56,1.32,0.00,6.27
14681,-20.31,-0.78,14.81,13.92,181,0.35,834,100.00,7.50,1.45,100,6.09,-8.56,1.32,0.00,6.27
14906,-20.31,-0.78,14.70,14.00,181,0.35,849,100.00,5.50,1.63,100,6.09,-8.56,1.30,0.00,6.27
15132,-20.31,-0.78,14.70,14.00,181,0.19,861,100.00,6.50,1.27,100,5.51,-9.14,1.12,0.00,3.14
15358,-20.31,-0.78,14.59,14.00,181,0.18,819,100.00,11.50,1.23,100,4.93,-9.72,1.10,0.00,3.14
15584,-20.31,-0.78,14.36,13.76,181,0.19,735,100.00,20.00,1.11,100,4.64,-10.01,1.16,0.00,4.31
15810,-21.09,-0.78,14.24,13.76,181,0.28,714,100.00,23.50,1.07,100,4.79,-9.87,1.16,0.00,3.53
16035,-21.09,-0.78,14.24,13.76,183,0.25,669,100.00,20.00,1.00,100,4.93,-9.87,1.10,0.00,3.53
16261,-21.09,-0.78,14.24,13.76,183,0.26,624,100.00,17.50,0.93,100,4.93,-9.72,1.14,0.00,3.92
16487,-21.09,-0.78,14.24,13.52,183,0.31,581,100.00,17.50,0.88,100,5.08,-9.58,1.16,0.00,3.92
16713,-21.09,-0.78,14.24,13.36,183,0.32,559,100.00,17.50,0.95,100,5.37,-9.29,1.18,0.00,3.92
16939,-21.09,-0.78,14.24,13.52,183,0.32,562,100.00,17.50,0.96,100,5.51,-9.14,1.16,0.00,3.92
17165,-21.09,-0.78,14.24,13.84,183,0.32,571,100.00,17.50,0.97,100,5.66,-9.00,1.12,0.00,3.92
17391,-21.09,-0.78,14.24,13.60,183,0.31,592,100.00,17.00,1.00,100,5.80,-9.00,1.18,0.00,3.92
17617,-21.88,-0.78,14.24,13.92,183,0.28,624,100.00,14.00,1.07,100,5.80,-9.00,1.12,0.00,3.92
17842,-21.88,-0.78,14.24,14.00,183,0.27,659,100.00,14.00,1.13,100,5.66,-9.00,1.12,0.00,3.92
18069,-21.88,-0.78,14.24,14.00,183,0.27,656,100.00,14.50,1.12,100,5.51,-9.14,1.12,0.00,3.53
18294,-21.88,-0.78,14.24,13.92,183,0.26,660,100.00,14.00,1.13,100,5.37,-9.29,1.12,0.00,3.53
18520,-21.88,-0.78,14.24,13.92,183,0.27,647,100.00,15.00,0.97,100,5.37,-9.29,1.14,0.00,3.53
18746,-22.66,-0.78,14.24,13.92,183,0.27,636,100.00,16.00,0.94,100,5.37,-9.43,1.16,0.00,3.92
18972,-22.66,-0.78,14.24,13.92,183,0.28,617,100.00,17.50,0.93,100,5.37,-9.29,1.16,0.00,3.92
19198,-22.66,-0.78,14.24,13.92,183,0.31,597,100.00,18.00,0.89,100,5.37,-9.29,1.16,0.00,4.31
19423,-22.66,-0.78,14.24,13.84,183,0.32,592,100.00,17.50,1.01,100,5.51,-9.14,1.18,0.00,4.31
19649,-22.66,-0.78,14.36,13.92,183,0.42,588,100.00,15.00,1.00,100,5.66,-9.00,1.34,0.00,6.67
19876,-22.66,-0.78,14.36,14.00,183,0.49,588,100.00,14.50,1.25,100,6.67,-7.98,1.32,0.00,6.27
20102,-22.66,-0.78,14.59,13.92,183,0.37,730,100.00,4.00,1.37,100,6.96,-7.69,1.26,0.00,5.10
20328,-21.88,-0.78,14.81,13.92,183,0.30,776,100.00,4.50,1.32,100,6.38,-8.27,1.22,0.00,5.10
20553,-21.88,-0.78,14.81,13.92,183,0.31,761,100.00,4.50,1.30,100,6.09,-8.56,1.26,0.00,5.49
20779,-21.09,-0.78,14.81,13.92,183,0.41,746,100.00,6.00,1.45,100,6.24,-8.42,1.36,0.00,7.06
21005,-21.09,-0.78,14.81,14.00,183,0.43,768,100.00,5.00,1.48,100,6.82,-7.98,1.34,0.00,6.27
21231,-19.53,-0.78,15.27,13.92,183,0.31,805,100.00,2.50,1.55,100,6.38,-8.27,1.28,0.00,5.49
21456,-18.75,-0.78,15.16,14.00,183,0.31,808,100.00,2.50,1.39,100,6.09,-8.56,1.28,0.00,5.49
21682,-18.75,-0.78,14.81,13.84,183,0.32,798,100.00,5.00,1.38,100,5.95,-8.71,1.30,0.00,5.88
21908,-19.53,-0.78,14.59,13.76,183,0.36,799,100.00,5.50,1.37,100,5.95,-8.71,1.34,0.00,6.27
22134,-19.53,-0.78,14.47,13.92,183,0.35,812,100.00,5.50,1.40,100,6.09,-8.56,1.32,0.00,5.88
22360,-19.53,-0.78,14.47,13.92,183,0.34,810,100.00,8.00,1.39,100,6.09,-8.71,1.28,0.00,5.49
22586,-18.75,-0.78,14.59,14.00,183,0.31,819,100.00,6.50,1.40,100,5.80,-8.85,1.24,0.00,5.49
22812,-19.53,-0.78,14.47,14.00,183,0.31,812,100.00,8.50,1.39,100,5.66,-9.00,1.26,0.00,5.49
23037,-20.31,-0.78,14.24,13.92,185,0.31,829,100.00,8.50,1.40,100,5.66,-9.00,1.28,0.00,5.49
23263,-21.09,-0.78,14.13,13.92,185,0.33,816,100.00,10.50,1.37,100,5.66,-9.00,1.30,0.00,5.88
23489,-21.09,-0.78,14.13,14.00,185,0.33,811,100.00,11.00,1.39,100,5.66,-9.00,1.30,0.00,5.88
23716,-21.09,-0.78,14.36,13.92,185,0.32,829,100.00,9.50,1.40,100,5.80,-9.00,1.30,0.00,5.88
23942,-21.09,-0.78,14.47,14.00,185,0.34,838,100.00,9.00,1.43,100,5.80,-8.85,1.28,0.00,5.88
24167,-20.31,-0.78,14.59,14.00,185,0.32,856,33.33,8.00,1.47,100,5.80,-8.85,1.30,0.00,5.88
24394,-20.31,-0.78,14.59,14.00,185,0.34,832,33.33,11.00,1.43,100,5.80,-9.00,1.30,0.00,5.88
24620,-20.31,-1.56,14.70,14.00,185,0.34,822,33.33,12.00,1.40,100,5.80,-8.85,1.28,0.00,5.88
24846,-18.75,-1.56,14.93,14.00,185,0.34,843,33.33,10.50,1.42,100,5.80,-8.85,1.30,0.00,5.88
25071,-17.19,-1.56,15.16,13.92,185,0.33,840,33.33,11.00,1.44,100,5.80,-8.85,1.32,0.00,5.88
25297,-16.41,-1.56,15.16,14.00,185,0.32,864,33.33,8.50,1.47,100,5.80,-8.85,1.28,0.00,5.88
25524,-16.41,-1.56,14.93,14.00,185,0.32,857,33.33,10.00,1.47,100,5.80,-9.00,1.32,0.00,5.88
25749,-16.41,-1.56,14.70,14.00,185,0.32,874,33.33,8.00,1.49,100,5.80,-9.00,1.28,0.00,5.88
25975,-17.19,-1.56,14.59,13.92,185,0.32,893,33.33,7.50,1.51,100,5.66,-9.00,1.30,0.00,5.88
26201,-17.19,-1.56,14.59,14.00,185,0.32,864,33.33,11.00,1.48,100,5.66,-9.00,1.30,0.00,5.88
26426,-16.41,-1.56,14.59,14.00,185,0.33,854,33.33,12.00,1.48,100,5.66,-9.00,1.30,0.00,5.88
26652,-16.41,-1.56,14.70,14.00,185,0.32,861,33.33,11.00,1.47,100,5.66,-9.00,1.30,0.00,5.88
26878,-16.41,-1.56,14.59,13.84,185,0.34,852,33.33,12.50,1.44,100,5.66,-9.00,1.32,0.00,5.88
27103,-16.41,-1.56,14.59,14.00,185,0.33,860,33.33,11.50,1.47,100,5.80,-9.00,1.28,0.00,5.88
27329,-16.41,-1.56,14.47,13.92,185,0.32,848,33.33,13.00,1.45,100,5.80,-9.00,1.32,0.00,5.88
27555,-16.41,-1.56,14.47,13.84,185,0.40,839,33.33,15.50,1.63,102,5.80,-8.85,2.46,0.00,26.27
27781,-0.78,-2.34,14.81,14.00,185,0.59,1243,66.67,11.50,5.48,102,14.51,-0.15,1.44,0.00,7.45
28007,-5.47,-1.56,13.90,13.76,185,0.19,1684,33.33,23.00,3.86,102,7.25,-7.40,2.32,7.84,21.96
28233,-10.94,0.00,13.21,13.76,185,0.15,2234,66.67,22.00,5.59,102,8.71,-5.95,1.22,0.00,3.14
28458,-14.06,-1.56,13.09,13.92,185,0.09,2147,33.33,17.00,2.33,102,3.77,-10.88,1.40,0.00,6.67
28685,-11.72,-2.34,14.47,13.68,185,0.34,1888,33.33,26.00,2.87,102,4.64,-10.01,1.68,0.00,10.20
28911,-3.12,-2.34,13.78,13.84,185,0.78,1828,66.67,40.00,5.72,102,8.27,-6.38,2.22,0.00,16.47
29137,-4.69,-2.34,13.78,13.92,185,0.69,2366,66.67,37.50,8.35,102,11.03,-3.77,2.16,0.78,16.47
29363,-13.28,-2.34,12.52,13.84,185,0.54,2581,66.67,41.50,7.17,102,9.00,-5.66,2.10,0.00,14.51
29589,-17.19,-2.34,13.67,14.00,185,0.43,2443,66.67,42.50,5.78,102,7.84,-6.82,1.74,0.00,10.20
29815,-19.53,0.00,14.01,14.00,185,0.15,2006,33.33,38.50,2.62,102,4.50,-10.30,1.34,0.00,3.53
30040,-0.78,-2.34,13.90,13.84,185,0.73,1725,33.33,39.00,5.63,102,4.06,-10.59,2.48,22.75,20.78
30266,-4.69,-2.34,12.17,14.00,185,0.23,2324,66.67,37.00,7.75,102,9.87,-4.79,1.46,0.00,6.27
30493,-17.19,0.00,11.14,13.92,185,0.32,2432,33.33,41.00,4.17,102,5.37,-9.29,1.94,0.00,12.94
30719,-4.69,-2.34,11.71,13.76,185,0.53,2160,66.67,41.00,6.00,102,8.27,-6.38,1.90,0.00,12.16
30945,-7.81,-2.34,13.55,13.84,185,0.41,2053,66.67,40.00,4.88,104,7.25,-7.40,1.80,0.00,10.98
31171,-17.97,0.00,12.29,13.76,185,0.28,1812,33.33,35.00,3.11,104,6.09,-8.71,1.54,0.00,8.63
31397,-18.75,0.00,13.21,13.92,185,0.32,1383,33.33,28.50,2.12,104,5.22,-9.43,1.44,0.00,7.45
31622,-17.97,0.00,14.24,14.00,185,0.31,1121,33.33,25.00,1.94,104,5.22,-9.43,1.36,0.00,6.27
31849,-21.09,-1.56,13.90,14.00,185,0.26,1160,33.33,25.00,1.71,104,5.08,-9.58,1.32,0.00,6.27
32074,-25.00,-1.56,12.86,13.92,187,0.28,1202,33.33,25.50,1.77,104,4.93,-9.72,1.36,0.00,6.67
32300,-25.00,0.00,12.52,13.84,187,0.28,1258,33.33,26.00,1.85,104,4.93,-9.72,1.38,0.00,7.06
32526,-25.00,0.00,12.63,13.84,187,0.28,1292,33.33,26.50,1.94,104,4.93,-9.87,1.36,0.00,6.67
32752,-25.00,-1.56,12.86,13.84,187,0.35,1318,33.33,26.50,1.70,104,4.64,-10.01,1.30,0.00,5.88
32978,-25.00,-1.56,12.75,13.84,187,0.22,1312,33.33,26.50,1.69,104,4.35,-10.45,1.30,0.00,5.88
33204,-25.00,-1.56,12.75,14.00,187,0.15,1262,33.33,28.50,1.64,104,3.77,-10.88,1.14,0.00,2.75
33430,0.00,-1.56,12.40,14.00,187,0.15,1139,33.33,21.50,1.46,104,3.34,-11.32,1.14,0.00,2.35
33656,-0.78,-1.56,12.40,13.92,187,0.20,946,33.33,17.00,1.23,104,3.34,-11.32,1.18,0.00,1.96
33882,-4.69,-1.56,12.52,13.92,187,0.28,746,33.33,17.00,1.16,104,3.48,-11.17,1.24,0.00,3.53
34107,-8.59,-1.56,12.52,13.68,187,0.33,596,33.33,17.00,1.07,104,3.92,-10.74,1.18,0.00,3.92
34333,-12.50,-1.56,12.17,13.28,187,0.35,509,33.33,17.00,0.91,104,4.35,-10.30,1.20,0.00,3.92
34558,-16.41,-1.56,11.94,13.28,187,0.39,486,33.33,17.00,0.93,104,5.08,-9.72,1.14,0.00,3.92
34784,-21.88,-1.56,11.60,13.28,187,0.38,490,33.33,17.00,0.94,104,5.37,-9.29,1.16,0.00,3.92
35010,-25.00,-1.56,11.37,13.12,187,0.36,518,33.33,17.00,0.87,104,5.80,-9.00,1.22,0.00,4.71
35235,-25.00,-1.56,11.25,13.84,187,0.42,547,33.33,17.00,1.02,104,6.09,-8.56,1.26,0.00,5.10
35461,-25.00,-1.56,11.48,14.00,187,0.38,613,33.33,17.00,1.18,104,6.38,-8.27,1.16,0.00,4.31
35687,-24.22,-1.56,12.29,14.00,187,0.26,684,33.33,17.00,1.17,104,6.09,-8.56,1.14,0.00,3.53
35913,-22.66,-1.56,13.44,13.92,187,0.26,740,33.33,15.00,1.26,104,5.80,-9.00,1.20,0.00,4.31
36139,-21.88,-1.56,14.13,14.00,187,0.28,718,33.33,16.50,1.23,104,5.51,-9.14,1.24,0.00,5.49
36365,-21.88,-1.56,14.36,14.00,187,0.35,686,33.33,19.50,1.16,104,5.80,-8.85,1.18,0.00,3.53
36591,-21.09,-1.56,14.59,14.00,187,0.23,719,33.33,15.00,1.23,104,5.51,-9.14,1.18,0.00,4.31
36817,-19.53,-2.34,14.81,13.84,187,2.42,715,66.67,17.00,2.29,104,12.48,-2.18,2.22,0.00,29.41
37042,-0.78,-2.34,15.62,14.00,187,0.58,1102,66.67,11.00,4.29,104,13.20,-1.45,1.30,0.00,5.88
37269,-5.47,-1.56,13.32,13.68,187,0.07,1611,33.33,-2.00,2.70,104,7.11,-7.55,1.08,0.00,3.53
37494,-10.94,-1.56,12.06,13.76,187,0.22,1456,33.33,26.00,2.20,104,4.79,-9.87,1.40,0.00,7.06
37720,-5.47,0.00,14.36,13.92,189,0.60,1230,33.33,30.50,2.36,104,5.51,-9.14,1.86,0.00,12.16
37946,4.69,-2.34,16.65,13.92,189,1.32,1416,66.67,10.00,7.30,104,13.78,-0.87,2.18,0.00,25.88
38172,-4.69,-2.34,13.44,13.44,189,0.90,2053,66.67,16.00,8.96,106,13.64,-1.02,2.30,34.12,23.53
38398,-14.06,-2.34,12.75,13.92,189,0.78,2170,66.67,21.50,8.31,106,12.77,-1.89,2.30,14.12,19.22
38623,-17.19,-2.34,14.01,13.76,189,0.84,2138,66.67,25.50,7.39,106,12.04,-2.61,2.28,1.18,17.65
38849,-17.97,-2.34,14.47,13.52,189,0.86,2003,66.67,27.00,6.89,106,12.62,-2.18,2.24,0.00,17.25
39076,-16.41,-2.34,14.93,13.92,189,0.92,1863,66.67,25.50,6.86,108,12.77,-1.89,2.22,0.00,17.65
39301,-16.41,-2.34,14.81,13.84,189,0.87,1746,66.67,23.00,6.42,108,12.77,-1.89,2.08,0.00,15.29
39527,-17.97,-2.34,14.24,13.76,189,0.56,1486,66.67,29.50,4.26,108,10.16,-4.64,1.84,0.00,11.76
39753,-19.53,-2.34,14.24,13.92,189,0.80,1618,66.67,30.50,4.70,109,10.88,-3.92,2.18,0.00,16.47
39979,-15.62,-2.34,15.39,13.76,189,0.58,1592,66.67,31.00,4.47,109,10.59,-4.06,1.90,0.00,12.16
40205,-13.28,-2.34,15.50,13.84,189,0.82,1898,66.67,31.00,6.02,109,11.32,-3.34,2.08,0.00,15.29
40430,-16.41,-2.34,14.36,13.68,189,0.78,1896,66.67,33.50,5.17,109,10.30,-4.35,2.18,0.00,16.47
40657,-13.28,-2.34,15.04,13.92,189,0.60,2005,66.67,35.00,6.06,109,11.17,-3.48,1.92,0.00,12.16
40882,-13.28,-2.34,14.70,13.84,189,0.71,2183,66.67,37.50,5.96,109,10.59,-4.06,2.14,0.00,15.69
41108,-11.72,-2.34,14.81,13.76,189,0.65,2218,66.67,37.50,6.10,109,10.30,-4.35,2.20,4.31,16.08
41334,-10.16,-2.34,15.04,13.84,189,0.69,2361,66.67,34.00,7.04,109,10.88,-3.77,2.18,0.00,15.69
41559,-10.16,-2.34,14.70,13.68,189,0.82,2474,66.67,34.00,7.82,109,11.32,-3.34,2.34,18.04,18.82
41785,-6.25,-2.34,14.93,13.84,189,0.71,2605,66.67,38.00,8.91,109,11.32,-3.48,2.36,8.63,18.43
42011,-4.69,-2.34,14.93,13.68,189,0.83,2755,66.67,37.50,10.00,109,11.75,-2.90,2.42,4.31,19.22
42237,-8.59,-2.34,14.13,13.84,189,0.80,2942,66.67,38.50,10.61,109,11.75,-2.90,2.46,0.78,19.61
42463,-10.94,-2.34,14.24,13.76,189,0.80,3074,66.67,39.00,11.13,109,12.19,-2.47,2.48,0.00,19.61
42689,-11.72,-2.34,14.47,13.44,189,0.85,3229,66.67,39.00,12.40,109,12.77,-1.89,2.56,2.35,21.18
42914,-10.16,-2.34,14.59,14.00,189,0.82,3419,66.67,39.50,12.25,109,12.77,-2.03,2.58,0.00,20.78
43140,-6.25,-2.34,14.93,13.92,189,0.81,3583,66.67,40.50,12.80,109,12.48,-2.18,2.60,0.00,21.18
43366,-3.12,-2.34,14.70,13.76,189,0.86,3746,66.67,39.50,14.19,109,12.77,-1.89,2.72,9.41,22.75
43592,-1.56,-2.34,14.70,13.68,190,1.01,3931,100.00,34.00,18.32,109,14.80,0.15,2.92,25.49,26.67
43818,-7.81,-2.34,13.78,13.92,190,1.04,4098,100.00,31.50,19.31,108,15.38,0.73,2.96,21.18,25.49
44043,-4.69,-2.34,14.70,13.68,190,1.10,4332,100.00,29.00,21.15,108,15.38,0.73,3.04,13.33,25.49
44269,-9.38,-2.34,13.90,13.68,190,0.94,4531,100.00,32.00,19.27,108,14.51,-0.15,2.90,0.00,23.53
44496,-9.38,-2.34,13.67,13.68,190,0.53,4498,66.67,28.00,8.66,108,5.66,-9.00,2.56,0.00,9.41
44721,0.00,-2.34,12.86,13.68,190,0.59,4172,33.33,20.00,0.00,106,3.19,-11.46,2.46,0.00,9.02
44947,0.00,-2.34,12.98,13.84,190,0.50,3822,33.33,23.50,0.00,106,3.05,-11.61,2.28,0.00,8.24
45173,0.00,-2.34,11.48,13.60,190,1.01,2982,66.67,29.50,14.34,106,11.03,-3.63,2.68,27.84,25.88
45399,0.00,-2.34,11.14,13.76,190,0.99,2871,100.00,31.50,14.68,106,14.07,-0.58,2.60,33.73,25.10
45625,0.00,-2.34,11.48,13.84,190,1.03,2952,100.00,31.50,15.76,106,14.80,0.15,2.66,38.43,25.10
45850,0.00,-2.34,11.48,13.52,190,1.03,3054,100.00,30.00,16.12,106,15.53,0.87,2.70,39.61,25.10
46077,0.00,-2.34,11.60,13.84,190,1.12,3123,100.00,27.50,17.40,104,16.54,1.89,2.82,48.63,27.84
46302,-14.84,-2.34,12.52,13.76,190,1.22,3216,100.00,23.50,17.18,104,17.99,3.34,2.88,48.63,28.24
46528,-12.50,-2.34,14.13,13.68,190,1.28,3343,100.00,19.50,18.36,104,19.30,4.50,2.98,47.06,29.02
46754,-9.38,-2.34,14.36,13.92,190,1.38,3415,100.00,18.00,20.47,104,20.46,5.80,3.06,43.14,29.80
46980,-10.16,-2.34,13.90,13.60,190,1.48,3517,100.00,16.50,21.81,102,21.62,6.96,3.14,41.18,30.59
47206,-8.59,-2.34,14.13,13.76,190,1.54,3647,100.00,15.00,23.80,102,22.78,8.13,3.24,38.82,31.37
47431,-8.59,-2.34,14.01,13.68,190,1.57,3748,100.00,15.50,25.31,102,23.51,8.85,3.24,34.51,31.76
